title,year,topic,probability,custom_label
"Aromatic 19F-13C TROSY: a background-free approach to probe biomolecular structure, function, and dynamics",2019,-1,0.0,Outlier
"In vitro and in silico inhibition performance of choline against CYP1A2, CYP2D6 and CYP3A4",2022,77,3.689548633648291e-48,Topic 77
‘It felt like finding hope only to lose it again’: A grounded theory study of rare cancer policies in Bulgaria,2025,55,2.727332257933758e-16,Topic 55
"‘Without data, you’re just another person with an opinion’",2020,-1,0.0,Outlier
“A Community… Sounds Like Communism”: Notions of Gay Community and “Community Belonging Contradiction” Among Bulgarian Non-Heterosexual Males,2024,10,0.003200319396568447,Topic 10
“Ab Interno” Surgery of the Schlemm’s Canal in Postuveitic Glaucoma Patients,2023,17,0.0,Topic 17
“Core/Shell” Nanocomposites as Photocatalysts for the Degradation of the Water Pollutants Malachite Green and Rhodamine B,2024,21,0.0,Topic 21
“Loved ones are not ‘visitors' in a patient's life”—The importance of including loved ones in the patient's hospital stay: An international Twitter study of #HospitalsTalkToLovedOnes in times of COVID-19,2023,-1,0.0,Outlier
"""Naturalization"" of Routine Assisted Reproductive Technologies by in Vitro Culture of Embryos with Microvibration: Sex Ratio, Body Length, and Weight of 2,456 Live-Birth Deliveries after Transfer of 9,624 Embryos in Vitro Cultured in Static System and with Microvibration",2017,9,0.000636246006898997,Topic 9
“Quinone Millipedes” Reconsidered: Evidence for a Mosaic-Like Taxonomic Distribution of Phenol-Based Secretions across the Julidae,2016,1,5.660581039806341e-29,Topic 1
"""redox Imaging"" to distinguish cells with different proliferative indexes: Superoxide, hydroperoxides, and their ratio as potential biomarkers",2019,51,4.311243514213806e-31,Topic 51
"“Sleep Well, Our Tough Heroes!”—In Adolescence, Greater Mental Toughness is Related to Better Sleep Schedules",2014,-1,0.0,Outlier
"""Spoligoriftyping,"" a dual-priming-oligonucleotide-based direct-hybridization assay for tuberculosis control with a multianalyte microbead-based hybridization system",2012,34,0.0,Topic 34
"“Taking care of your pregnancy”: a mixed-methods study of group antenatal care in Kakamega County, Kenya",2022,-1,0.0,Outlier
"""The five fingers of my hand"": Human capital and well-being in SMEs",2013,-1,0.0,Outlier
"""The Rhythm of Cancer"" - Unexpected Autopsy Finding in a Patient with Gastric Ulceration",2021,-1,0.0,Outlier
“Top-Three” health reforms in 31 high-income countries in 2018 and 2019: an expert informed overview,2021,-1,0.0,Outlier
“TREAT-TO-TARGET” IN SYSTEMIC LUPUS ERYTHEMATOSUS: NOVEL DEFINITIONS OF REMISSION AND LOW DISEASE ACTIVITY,2024,-1,0.0,Outlier
“What I thought was so important isn’t really that important”: international perspectives on making meaning during the first wave of the COVID-19 pandemic,2021,57,0.0,Topic 57
"(+)-limonene 1,2-epoxide-loaded slns: Evaluation of drug release, antioxidant activity, and cytotoxicity in an HaCaT cell line",2020,11,2.904637064339939e-16,Topic 11
"(±)-2-(2-Fluoro-[1,1′-biphenyl]-4-yl)-N-(1-phenylpropan-2-yl)propanamide",2022,41,4.3536345296365956e-30,Topic 41
"(±)-N-(1,2-Bis(3,4-dimethoxyphenyl)ethyl)-2-(2-fluoro-[1,1′-biphenyl]-4-yl)propanamide",2023,41,1.7724795141089657e-21,Topic 41
(±)-N-(3-Chlorophenethyl)-2-(6-methoxynaphthalen-2-yl)propanamide,2023,41,2.364107797076375e-13,Topic 41
(3D) Bioprinting—Next Dimension of the Pharmaceutical Sector,2024,4,0.003215510701065407,Topic 4
(E)-2-(2-oxo-4-phenylbut-3-en-1-yl)benzo[d]thiazole- 3(2H)-carboxylates,2021,41,0.0,Topic 41
(E)-3-Heptyl-2-(4-thiomorpholinostyryl)benzo[d]thiazol-3-ium Iodide as Solvatochromic and Fluorogenic Dye for Spectroscopy Applications,2023,84,0.0,Topic 84
"(E)-3-methyl-6-(3-oxo-3-(3,4,5-trimethoxyphenyl) prop-1-en-1-yl)-2(3H)-benzothiazolone",2016,41,0.0,Topic 41
(E)-3-methyl-6-(3-oxo-3-(thiophen-2-yl)-1-propenyl)-2(3H)-benzothiazolone,2016,41,0.0,Topic 41
"(E)-5-(3-Oxo-3-(3,4,5-trimethoxyphenyl)prop-1-en-1-yl)benzo[d]oxazol-2(3H)-one",2024,41,4.6680110590045887e-07,Topic 41
(R/S)-Ethyl 2-Acetoxy-4-phenyl-4H-chromene-3-carboxylate,2024,41,0.004869781370777933,Topic 41
(Self-)reflecting on international recruitment: Views on the role of recruiting agencies in Bulgaria and Romania,2019,10,0.0034179013838159474,Topic 10
[(3-Chlorobenzamido)methyl]triethylammonium chloride,2015,41,1.863735668819558e-08,Topic 41
[(4-nitrophenyl)amino]methyl}benzamide,2014,41,0.0,Topic 41
"1-(2-Chlorophenyl)-6,7-dimethoxy-3-methyl-3,4-dihydroisoquinoline",2023,41,0.0,Topic 41
1-(3-Iodopropyl)-4-methylquinolin-1-ium Iodide,2015,41,0.0,Topic 41
1-Year COMBO stent outcomes stratified by the PARIS bleeding prediction score: From the MASCOT registry,2020,2,1.1946170113305725e-17,Topic 2
"1,1,2,2-Tetrakis[(benzoylamino)methyl]hydrazine",2011,62,2.4224366726925412e-05,Topic 62
12-month intravascular ultrasound observations from BiOSS® first-in-man studies,2016,2,2.6268031173290074e-05,Topic 2
13C CPMAS NMR as a tool for full structural description of 2-phenyl substituted imidazoles that overcomes the effects of fast tautomerization,2020,47,1.1068385922456462e-05,Topic 47
16p11.2 Duplication Syndrome – a Case Report; [Синдром дупликации 16p11.2 – клинический случай],2021,12,0.004005386789071783,Topic 12
16S rRNA Gene Sequencing-Based Identification and Comparative Analysis of the Fecal Microbiota of Five Syntopic Lizard Species from a Low-Mountain Area in Western Bulgaria,2024,0,0.015317064048670365,Topic 0
16S-rRNA-Based Metagenomic Profiling of the Bacterial Communities in Traditional Bulgarian Sourdoughs,2023,18,2.2915104400563325e-06,Topic 18
17th IHIW component “Immunogenetics of Ageing” – New NGS data,2019,-1,0.0,Outlier
17β-Hydroxy-2-oxa-5α-androstan-3-one,2024,41,0.001049915766452873,Topic 41
18F-FDG PET response of skeletal (Bone Marrow and Bone) involvement after induction chemotherapy in pediatric hodgkin lymphoma: Are specific response criteria required?,2018,-1,0.0,Outlier
18F-FDG PET/CT in patients with parenchymal changes attributed to radiation pneumonitis; [Radyasyon pnömonisine bağlı parankimal değişiklikleri olan hastalarda18F-FDG PET/BT],2018,-1,0.0,Outlier
18F-FDG PET/CT in the diagnosis of an extranodal relapse of diffuse large B-cell lymphoma (DLBCL): A clinical case with a literature review,2016,-1,0.0,Outlier
"2-(1H-Imidazol-2-yl)-2,3-dihydro-1H-perimidine",2023,-1,0.0,Outlier
"2-(2-Fluoro-[1,1′-biphenyl]-4-yl)-N-(4-methyl-2-oxo-2H-chromen-7-yl)propanamide",2023,41,6.432953626025141e-17,Topic 41
"2-(2,6-Diisopropylphenyl)-1-methylimidazo[1,5-a]quinolin-2-ium Tetrafluoroborate",2024,-1,0.0,Outlier
"2-Alkyl-Substituted-4-Amino-Thieno[2,3-d]Pyrimidines: Anti-Proliferative Properties to In Vitro Breast Cancer Models",2023,62,0.0,Topic 62
2-Amino-N-Phenethylbenzamides for Irritable Bowel Syndrome Treatment,2024,-1,0.0,Outlier
2013 WSES guidelines for management of intra-abdominal infections,2013,71,0.0,Topic 71
2016 WSES guidelines on acute calculous cholecystitis,2016,22,1.960582780047228e-06,Topic 22
2017 ESC Guidelines for the management of acute myocardial infarction in patients presenting with ST-segment elevation,2018,55,0.0,Topic 55
2017 update of the WSES guidelines for emergency repair of complicated abdominal wall hernias,2017,-1,0.0,Outlier
2017 WSES guidelines on colon and rectal cancer emergencies: Obstruction and perforation,2018,22,9.77352459650886e-41,Topic 22
2018 EULAR recommendations for physical activity in people with inflammatory arthritis and osteoarthritis,2018,-1,0.0,Outlier
2018 update of the EULAR recommendations for the role of the nurse in the management of chronic inflammatory arthritis,2020,-1,0.0,Outlier
2018 WSES/SIS-E consensus conference: Recommendations for the management of skin and soft-tissue infections,2018,71,0.0,Topic 71
2019 ESC Guidelines for the diagnosis and management of acute pulmonary embolism developed in collaboration with the European respiratory society (ERS),2020,55,1.5187231230735116e-20,Topic 55
2019 ESC Guidelines for the diagnosis and management of chronic coronary syndromes,2020,2,0.0,Topic 2
2019 update of the WSES guidelines for management of Clostridioides (Clostridium) difficile infection in surgical patients,2019,6,0.003214657430514099,Topic 6
2020 update of the WSES guidelines for the management of acute colonic diverticulitis in the emergency setting,2020,-1,0.0,Outlier
2020 World Society of Emergency Surgery updated guidelines for the diagnosis and treatment of acute calculus cholecystitis,2020,-1,0.0,Outlier
2020 WSES guidelines for the detection and management of bile duct injury during cholecystectomy,2021,22,2.1490830842392447e-08,Topic 22
2021 EULAR points to consider to support people with rheumatic and musculoskeletal diseases to participate in healthy and sustainable paid work,2022,-1,0.0,Outlier
2022 EULAR points to consider for remote care in rheumatic and musculoskeletal diseases,2022,-1,0.0,Outlier
2023 ESC GUIDELINES FOR MANAGEMENT OF CARDIOMYOPATHIES: SHORT REVIEW WITH IMPLICATIONS FOR THE CLINICAL PRACTICE IN BULGARIA,2024,2,7.136851200673041e-06,Topic 2
2024 Recommendations on the Optimal Use of Lipid-Lowering Therapy in Established Atherosclerotic Cardiovascular Disease and Following Acute Coronary Syndromes: A Position Paper of the International Lipid Expert Panel (ILEP),2024,72,0.0,Topic 72
2q31.1 Microdeletion syndrome: Redefining the associated clinical phenotype,2011,12,3.33524886473434e-08,Topic 12
"3-((λ3-Oxidanylidene)(propylamino)methyl)-2-ethoxybenzo[e]-[1,2]oxaphosphinine-2-oxide",2024,41,0.0,Topic 41
"3-(1-Ethylamino-ethylidene)-1-methyl-pyrrolidine-2,4-dione",2023,41,0.002075508417814174,Topic 41
3-(2-Hydroxyethyl)-2-methylbenzothiazolium bromide,2016,41,0.0,Topic 41
"3-(3,4-Dihydroxyphenyl)-8-hydroxy-2H-chromen-2-one",2015,41,0.0,Topic 41
3-Carbamoylmethyl-Indole-1-Carboxylic Acid Ethyl Ester,2022,41,0.0,Topic 41
"3-methoxy aroylhydrazones–free radicals scavenging, anticancer and cytoprotective potency",2017,-1,0.0,Outlier
3-Methyl-1-phenyl-4-thioacetylpyrazol-5-one,2023,41,2.3451032914168027e-07,Topic 41
3’-Methyl-4-thio-1H-tetrahydropyranspiro-5’-hydantoin platinum complex as a novel deoxyribonuclease I inhibitor,2024,-1,0.0,Outlier
3'UTR polymorphism of IL12B in relation to susceptibility and development of diabetes,2007,-1,0.0,Outlier
30-Normedicagenic acid glycosides from Chenopodium foliosum,2012,1,0.005553595106016715,Topic 1
35-bp deletion in ABCG2 gene: mini-review and report on two herds of Bulgarian dairy synthetic population sheep breed,2022,0,4.27959851022116e-06,Topic 0
3D Bioprinting as an Emerging Standard for Cancer Modeling and Drug Testing; [3D-биопринтинг как развивающийся стандарт моделирования рака и тестирования лекарств],2022,45,0.000442179736430305,Topic 45
3D echocardiographic reference ranges for normal left ventricular volumes and strain: Results fromthe EACVI NORRE study,2017,2,0.008305651513247336,Topic 2
3d metal complexes with meloxicam as therapeutic agents in the fight against human glioblastoma multiforme and cervical carcinoma,2015,-1,0.0,Outlier
3Shape Digital Design Software in Splints Creation-A Pilot Study,2022,4,0.00019354658313953238,Topic 4
4-aminopyridine - the new old drug for the treatment of neurodegenerative diseases,2019,-1,0.0,Outlier
4-Aminopyridine affects rat arterial smooth muscle BKCa currents by changing intracellular pH,2000,58,0.0,Topic 58
4-Hydroxynonenal (HNE) and hepatic injury related to chronic oxidative stress,2019,-1,0.0,Outlier
4-Ketovalero lactone (KVL): A gateway molecule for diversification of the furanic platform,2024,41,0.0,Topic 41
"4-Methyl-7-((2-((5-methyl-1,3,4-thiadiazol-2-yl)thio)ethyl)thio)-coumarin",2022,41,0.005190244993735474,Topic 41
