Year,Topic,Count,Custom_Label
2022,77,9,Topic 77
2022,41,5,Topic 41
2022,0,67,Topic 0
2022,45,9,Topic 45
2022,4,40,Topic 4
2022,51,5,Topic 51
2022,50,7,Topic 50
2022,3,78,Topic 3
2022,13,18,Topic 13
2022,1,52,Topic 1
2022,35,15,Topic 35
2022,55,8,Topic 55
2022,47,9,Topic 47
2022,49,7,Topic 49
2022,84,6,Topic 84
2022,53,7,Topic 53
2022,5,22,Topic 5
2022,78,5,Topic 78
2022,42,4,Topic 42
2022,38,8,Topic 38
2022,39,17,Topic 39
2022,66,4,Topic 66
2022,2,88,Topic 2
2022,10,27,Topic 10
2022,79,4,Topic 79
2022,17,11,Topic 17
2022,86,2,Topic 86
2022,25,9,Topic 25
2022,81,3,Topic 81
2022,32,12,Topic 32
2022,19,5,Topic 19
2022,31,5,Topic 31
2022,14,8,Topic 14
2022,29,13,Topic 29
2022,48,11,Topic 48
2022,30,6,Topic 30
2022,8,24,Topic 8
2022,33,5,Topic 33
2022,11,24,Topic 11
2022,6,21,Topic 6
2022,43,7,Topic 43
2022,61,2,Topic 61
2022,57,20,Topic 57
2022,36,5,Topic 36
2022,63,4,Topic 63
2022,7,26,Topic 7
2022,16,14,Topic 16
2022,56,9,Topic 56
2022,27,8,Topic 27
2022,64,2,Topic 64
2022,85,8,Topic 85
2022,9,19,Topic 9
2022,82,5,Topic 82
2022,76,2,Topic 76
2022,12,13,Topic 12
2022,40,1,Topic 40
2022,34,8,Topic 34
2022,73,7,Topic 73
2022,18,4,Topic 18
2022,21,6,Topic 21
2022,23,9,Topic 23
2022,37,6,Topic 37
2022,24,10,Topic 24
2022,68,3,Topic 68
2022,60,3,Topic 60
2022,26,9,Topic 26
2022,15,9,Topic 15
2022,67,3,Topic 67
2022,22,16,Topic 22
2022,52,2,Topic 52
2022,62,5,Topic 62
2022,65,5,Topic 65
2022,74,2,Topic 74
2022,87,2,Topic 87
2022,83,2,Topic 83
2022,28,10,Topic 28
2022,58,2,Topic 58
2022,59,4,Topic 59
2022,75,1,Topic 75
2022,69,2,Topic 69
2022,80,1,Topic 80
2022,70,2,Topic 70
2022,20,9,Topic 20
2022,72,3,Topic 72
2022,44,1,Topic 44
2022,71,1,Topic 71
2022,46,1,Topic 46
2025,55,4,Topic 55
2025,66,4,Topic 66
2025,41,3,Topic 41
2025,21,5,Topic 21
2025,59,1,Topic 59
2025,23,5,Topic 23
2025,68,1,Topic 68
2025,79,3,Topic 79
2025,24,3,Topic 24
2025,11,7,Topic 11
2025,84,3,Topic 84
2025,46,6,Topic 46
2025,58,1,Topic 58
2025,3,5,Topic 3
2025,1,16,Topic 1
2025,37,2,Topic 37
2025,6,10,Topic 6
2025,30,4,Topic 30
2025,4,9,Topic 4
2025,71,1,Topic 71
2025,10,4,Topic 10
2025,7,6,Topic 7
2025,15,4,Topic 15
2025,0,12,Topic 0
2025,8,7,Topic 8
2025,38,4,Topic 38
2025,17,1,Topic 17
2025,18,2,Topic 18
2025,9,2,Topic 9
2025,25,1,Topic 25
2025,20,1,Topic 20
2025,49,1,Topic 49
2025,43,2,Topic 43
2025,47,1,Topic 47
2025,29,2,Topic 29
2025,35,4,Topic 35
2025,45,3,Topic 45
2025,65,1,Topic 65
2025,73,1,Topic 73
2025,63,2,Topic 63
2025,67,5,Topic 67
2025,2,6,Topic 2
2025,5,4,Topic 5
2025,70,1,Topic 70
2025,34,1,Topic 34
2025,13,3,Topic 13
2025,69,3,Topic 69
2025,75,1,Topic 75
2025,19,1,Topic 19
2025,60,1,Topic 60
2025,39,1,Topic 39
2025,22,2,Topic 22
2025,28,3,Topic 28
2025,40,1,Topic 40
2025,12,1,Topic 12
2025,57,1,Topic 57
2025,64,1,Topic 64
2025,81,1,Topic 81
2025,72,1,Topic 72
2025,32,1,Topic 32
2025,86,2,Topic 86
2025,76,1,Topic 76
2025,83,1,Topic 83
2025,62,3,Topic 62
2025,53,1,Topic 53
2025,26,3,Topic 26
2025,61,2,Topic 61
2025,42,1,Topic 42
2025,51,1,Topic 51
2025,27,2,Topic 27
2025,16,2,Topic 16
2025,54,1,Topic 54
2025,56,1,Topic 56
2024,10,25,Topic 10
2024,21,15,Topic 21
2024,4,59,Topic 4
2024,41,12,Topic 41
2024,0,52,Topic 0
2024,2,82,Topic 2
2024,72,6,Topic 72
2024,47,11,Topic 47
2024,14,10,Topic 14
2024,6,31,Topic 6
2024,3,66,Topic 3
2024,13,14,Topic 13
2024,37,8,Topic 37
2024,1,77,Topic 1
2024,49,4,Topic 49
2024,17,16,Topic 17
2024,69,3,Topic 69
2024,73,5,Topic 73
2024,77,4,Topic 77
2024,35,11,Topic 35
2024,27,10,Topic 27
2024,62,6,Topic 62
2024,7,29,Topic 7
2024,44,4,Topic 44
2024,79,9,Topic 79
2024,8,32,Topic 8
2024,80,5,Topic 80
2024,65,8,Topic 65
2024,56,7,Topic 56
2024,25,12,Topic 25
2024,19,9,Topic 19
2024,58,4,Topic 58
2024,38,9,Topic 38
2024,23,8,Topic 23
2024,28,17,Topic 28
2024,81,6,Topic 81
2024,15,5,Topic 15
2024,16,6,Topic 16
2024,53,8,Topic 53
2024,11,27,Topic 11
2024,12,13,Topic 12
2024,18,13,Topic 18
2024,5,33,Topic 5
2024,26,18,Topic 26
2024,75,7,Topic 75
2024,31,7,Topic 31
2024,24,9,Topic 24
2024,30,6,Topic 30
2024,61,7,Topic 61
2024,67,9,Topic 67
2024,64,4,Topic 64
2024,83,13,Topic 83
2024,9,19,Topic 9
2024,48,8,Topic 48
2024,46,8,Topic 46
2024,84,6,Topic 84
2024,42,7,Topic 42
2024,57,11,Topic 57
2024,71,6,Topic 71
2024,29,5,Topic 29
2024,40,2,Topic 40
2024,20,13,Topic 20
2024,82,5,Topic 82
2024,86,3,Topic 86
2024,60,3,Topic 60
2024,43,3,Topic 43
2024,68,10,Topic 68
2024,63,8,Topic 63
2024,59,9,Topic 59
2024,22,14,Topic 22
2024,70,4,Topic 70
2024,45,6,Topic 45
2024,87,4,Topic 87
2024,50,5,Topic 50
2024,66,3,Topic 66
2024,33,3,Topic 33
2024,36,5,Topic 36
2024,34,3,Topic 34
2024,39,5,Topic 39
2024,78,2,Topic 78
2024,32,6,Topic 32
2024,55,3,Topic 55
2024,85,3,Topic 85
2024,54,1,Topic 54
2024,76,2,Topic 76
2024,51,3,Topic 51
2024,74,1,Topic 74
2023,17,14,Topic 17
2023,41,11,Topic 41
2023,84,8,Topic 84
2023,18,12,Topic 18
2023,62,13,Topic 62
2023,35,16,Topic 35
2023,4,52,Topic 4
2023,3,105,Topic 3
2023,50,9,Topic 50
2023,8,26,Topic 8
2023,10,19,Topic 10
2023,0,86,Topic 0
2023,14,11,Topic 14
2023,1,72,Topic 1
2023,31,11,Topic 31
2023,7,21,Topic 7
2023,29,6,Topic 29
2023,66,12,Topic 66
2023,12,10,Topic 12
2023,25,6,Topic 25
2023,2,61,Topic 2
2023,86,4,Topic 86
2023,42,7,Topic 42
2023,47,16,Topic 47
2023,21,14,Topic 21
2023,67,7,Topic 67
2023,36,5,Topic 36
2023,83,4,Topic 83
2023,80,5,Topic 80
2023,11,26,Topic 11
2023,28,13,Topic 28
2023,33,7,Topic 33
2023,32,6,Topic 32
2023,39,20,Topic 39
2023,5,25,Topic 5
2023,45,8,Topic 45
2023,19,4,Topic 19
2023,22,18,Topic 22
2023,6,31,Topic 6
2023,87,6,Topic 87
2023,75,6,Topic 75
2023,26,14,Topic 26
2023,53,9,Topic 53
2023,73,3,Topic 73
2023,51,7,Topic 51
2023,15,7,Topic 15
2023,43,3,Topic 43
2023,30,6,Topic 30
2023,23,7,Topic 23
2023,9,15,Topic 9
2023,16,10,Topic 16
2023,65,4,Topic 65
2023,38,6,Topic 38
2023,61,2,Topic 61
2023,81,5,Topic 81
2023,27,18,Topic 27
2023,34,10,Topic 34
2023,24,6,Topic 24
2023,69,3,Topic 69
2023,79,5,Topic 79
2023,56,5,Topic 56
2023,77,6,Topic 77
2023,48,5,Topic 48
2023,76,4,Topic 76
2023,68,5,Topic 68
2023,71,5,Topic 71
2023,20,15,Topic 20
2023,13,14,Topic 13
2023,58,7,Topic 58
2023,82,5,Topic 82
2023,59,6,Topic 59
2023,44,3,Topic 44
2023,70,7,Topic 70
2023,57,8,Topic 57
2023,63,6,Topic 63
2023,64,4,Topic 64
2023,46,6,Topic 46
2023,54,7,Topic 54
2023,60,5,Topic 60
2023,85,2,Topic 85
2023,55,5,Topic 55
2023,78,2,Topic 78
2023,72,2,Topic 72
2023,49,6,Topic 49
2023,74,3,Topic 74
2023,37,3,Topic 37
2023,40,2,Topic 40
2017,9,10,Topic 9
2017,2,14,Topic 2
2017,55,3,Topic 55
2017,15,9,Topic 15
2017,13,22,Topic 13
2017,0,32,Topic 0
2017,45,4,Topic 45
2017,4,11,Topic 4
2017,22,4,Topic 22
2017,49,3,Topic 49
2017,56,3,Topic 56
2017,8,9,Topic 8
2017,63,5,Topic 63
2017,80,2,Topic 80
2017,27,2,Topic 27
2017,32,3,Topic 32
2017,28,3,Topic 28
2017,39,4,Topic 39
2017,25,3,Topic 25
2017,37,6,Topic 37
2017,44,6,Topic 44
2017,1,19,Topic 1
2017,42,3,Topic 42
2017,5,19,Topic 5
2017,18,4,Topic 18
2017,26,6,Topic 26
2017,7,15,Topic 7
2017,46,6,Topic 46
2017,87,3,Topic 87
2017,12,7,Topic 12
2017,14,25,Topic 14
2017,70,4,Topic 70
2017,11,9,Topic 11
2017,10,14,Topic 10
2017,23,6,Topic 23
2017,54,12,Topic 54
2017,6,9,Topic 6
2017,31,6,Topic 31
2017,43,2,Topic 43
2017,16,4,Topic 16
2017,24,3,Topic 24
2017,3,4,Topic 3
2017,65,2,Topic 65
2017,53,1,Topic 53
2017,52,3,Topic 52
2017,72,1,Topic 72
2017,60,2,Topic 60
2017,34,2,Topic 34
2017,30,1,Topic 30
2017,67,3,Topic 67
2017,29,2,Topic 29
2017,69,4,Topic 69
2017,74,6,Topic 74
2017,58,1,Topic 58
2017,66,1,Topic 66
2017,36,3,Topic 36
2017,68,5,Topic 68
2017,21,2,Topic 21
2017,20,3,Topic 20
2017,33,4,Topic 33
2017,78,2,Topic 78
2017,17,7,Topic 17
2017,62,1,Topic 62
2017,59,3,Topic 59
2017,77,2,Topic 77
2017,86,1,Topic 86
2017,71,3,Topic 71
2017,64,1,Topic 64
2017,83,1,Topic 83
2017,51,2,Topic 51
2017,81,3,Topic 81
2017,50,1,Topic 50
2017,19,2,Topic 19
2017,85,1,Topic 85
2017,82,2,Topic 82
2017,38,2,Topic 38
2017,75,1,Topic 75
2017,35,2,Topic 35
2017,47,1,Topic 47
2016,1,15,Topic 1
2016,41,4,Topic 41
2016,2,14,Topic 2
2016,22,2,Topic 22
2016,30,2,Topic 30
2016,4,13,Topic 4
2016,0,31,Topic 0
2016,35,2,Topic 35
2016,83,1,Topic 83
2016,63,2,Topic 63
2016,7,8,Topic 7
2016,5,19,Topic 5
2016,8,7,Topic 8
2016,26,3,Topic 26
2016,15,8,Topic 15
2016,50,4,Topic 50
2016,6,13,Topic 6
2016,9,8,Topic 9
2016,13,3,Topic 13
2016,44,8,Topic 44
2016,32,4,Topic 32
2016,79,3,Topic 79
2016,33,8,Topic 33
2016,16,2,Topic 16
2016,52,3,Topic 52
2016,24,7,Topic 24
2016,55,4,Topic 55
2016,31,3,Topic 31
2016,20,6,Topic 20
2016,18,5,Topic 18
2016,43,3,Topic 43
2016,47,3,Topic 47
2016,70,3,Topic 70
2016,23,4,Topic 23
2016,37,5,Topic 37
2016,10,10,Topic 10
2016,86,1,Topic 86
2016,11,7,Topic 11
2016,58,1,Topic 58
2016,66,4,Topic 66
2016,21,2,Topic 21
2016,48,2,Topic 48
2016,81,2,Topic 81
2016,53,2,Topic 53
2016,12,6,Topic 12
2016,34,6,Topic 34
2016,46,4,Topic 46
2016,85,1,Topic 85
2016,69,2,Topic 69
2016,39,2,Topic 39
2016,67,2,Topic 67
2016,19,5,Topic 19
2016,56,1,Topic 56
2016,59,1,Topic 59
2016,51,2,Topic 51
2016,25,1,Topic 25
2016,76,1,Topic 76
2016,74,2,Topic 74
2016,65,1,Topic 65
2016,42,1,Topic 42
2016,64,1,Topic 64
2016,73,1,Topic 73
2016,38,6,Topic 38
2016,54,1,Topic 54
2016,36,1,Topic 36
2016,72,1,Topic 72
2016,80,2,Topic 80
2016,78,1,Topic 78
2016,27,2,Topic 27
2019,51,4,Topic 51
2019,10,8,Topic 10
2019,6,18,Topic 6
2019,62,4,Topic 62
2019,12,5,Topic 12
2019,35,7,Topic 35
2019,1,45,Topic 1
2019,46,4,Topic 46
2019,4,27,Topic 4
2019,5,26,Topic 5
2019,42,4,Topic 42
2019,21,9,Topic 21
2019,83,3,Topic 83
2019,14,10,Topic 14
2019,0,50,Topic 0
2019,67,4,Topic 67
2019,75,7,Topic 75
2019,32,5,Topic 32
2019,53,3,Topic 53
2019,8,12,Topic 8
2019,7,19,Topic 7
2019,11,12,Topic 11
2019,69,4,Topic 69
2019,3,7,Topic 3
2019,77,3,Topic 77
2019,26,5,Topic 26
2019,37,7,Topic 37
2019,2,26,Topic 2
2019,30,2,Topic 30
2019,43,3,Topic 43
2019,61,5,Topic 61
2019,50,3,Topic 50
2019,16,10,Topic 16
2019,24,8,Topic 24
2019,15,7,Topic 15
2019,25,6,Topic 25
2019,36,2,Topic 36
2019,28,3,Topic 28
2019,66,3,Topic 66
2019,58,2,Topic 58
2019,84,1,Topic 84
2019,48,3,Topic 48
2019,19,3,Topic 19
2019,9,8,Topic 9
2019,65,1,Topic 65
2019,45,3,Topic 45
2019,44,2,Topic 44
2019,72,2,Topic 72
2019,56,4,Topic 56
2019,17,12,Topic 17
2019,76,3,Topic 76
2019,52,4,Topic 52
2019,64,2,Topic 64
2019,23,8,Topic 23
2019,31,8,Topic 31
2019,70,5,Topic 70
2019,74,3,Topic 74
2019,13,8,Topic 13
2019,33,4,Topic 33
2019,81,3,Topic 81
2019,59,3,Topic 59
2019,60,1,Topic 60
2019,22,5,Topic 22
2019,80,2,Topic 80
2019,85,2,Topic 85
2019,63,2,Topic 63
2019,18,3,Topic 18
2019,34,4,Topic 34
2019,38,3,Topic 38
2019,55,6,Topic 55
2019,39,3,Topic 39
2019,20,3,Topic 20
2019,27,2,Topic 27
2019,78,4,Topic 78
2019,86,2,Topic 86
2019,54,3,Topic 54
2019,87,1,Topic 87
2019,49,1,Topic 49
2019,71,2,Topic 71
2019,73,3,Topic 73
2019,29,1,Topic 29
2019,47,2,Topic 47
2019,41,1,Topic 41
2019,40,1,Topic 40
2019,79,1,Topic 79
2012,34,3,Topic 34
2012,1,12,Topic 1
2012,78,4,Topic 78
2012,12,8,Topic 12
2012,41,1,Topic 41
2012,2,17,Topic 2
2012,82,1,Topic 82
2012,25,3,Topic 25
2012,27,4,Topic 27
2012,7,7,Topic 7
2012,37,3,Topic 37
2012,0,28,Topic 0
2012,46,2,Topic 46
2012,29,5,Topic 29
2012,22,1,Topic 22
2012,36,3,Topic 36
2012,24,1,Topic 24
2012,5,8,Topic 5
2012,6,3,Topic 6
2012,40,2,Topic 40
2012,8,3,Topic 8
2012,15,4,Topic 15
2012,49,2,Topic 49
2012,19,6,Topic 19
2012,32,2,Topic 32
2012,4,4,Topic 4
2012,21,2,Topic 21
2012,71,2,Topic 71
2012,45,2,Topic 45
2012,76,3,Topic 76
2012,16,2,Topic 16
2012,38,3,Topic 38
2012,52,3,Topic 52
2012,11,2,Topic 11
2012,85,1,Topic 85
2012,28,2,Topic 28
2012,53,2,Topic 53
2012,17,1,Topic 17
2012,31,2,Topic 31
2012,56,1,Topic 56
2012,43,1,Topic 43
2012,23,1,Topic 23
2012,54,1,Topic 54
2012,9,3,Topic 9
2012,3,1,Topic 3
2012,20,2,Topic 20
2012,58,3,Topic 58
2012,65,1,Topic 65
2012,42,4,Topic 42
2012,10,1,Topic 10
2012,70,1,Topic 70
2021,57,9,Topic 57
2021,41,6,Topic 41
2021,12,16,Topic 12
2021,22,9,Topic 22
2021,42,4,Topic 42
2021,20,20,Topic 20
2021,63,6,Topic 63
2021,4,40,Topic 4
2021,0,86,Topic 0
2021,74,3,Topic 74
2021,77,5,Topic 77
2021,6,23,Topic 6
2021,15,13,Topic 15
2021,29,12,Topic 29
2021,54,6,Topic 54
2021,43,8,Topic 43
2021,17,14,Topic 17
2021,49,14,Topic 49
2021,2,72,Topic 2
2021,45,9,Topic 45
2021,78,3,Topic 78
2021,23,12,Topic 23
2021,16,12,Topic 16
2021,86,4,Topic 86
2021,8,17,Topic 8
2021,71,5,Topic 71
2021,3,64,Topic 3
2021,10,18,Topic 10
2021,44,5,Topic 44
2021,14,7,Topic 14
2021,5,19,Topic 5
2021,72,4,Topic 72
2021,7,25,Topic 7
2021,69,2,Topic 69
2021,64,6,Topic 64
2021,1,57,Topic 1
2021,31,9,Topic 31
2021,37,11,Topic 37
2021,73,6,Topic 73
2021,68,1,Topic 68
2021,25,2,Topic 25
2021,28,7,Topic 28
2021,62,2,Topic 62
2021,51,8,Topic 51
2021,30,2,Topic 30
2021,83,3,Topic 83
2021,67,2,Topic 67
2021,9,13,Topic 9
2021,13,13,Topic 13
2021,85,6,Topic 85
2021,33,6,Topic 33
2021,70,2,Topic 70
2021,21,13,Topic 21
2021,61,3,Topic 61
2021,24,19,Topic 24
2021,35,10,Topic 35
2021,55,8,Topic 55
2021,75,4,Topic 75
2021,26,10,Topic 26
2021,66,6,Topic 66
2021,48,11,Topic 48
2021,59,4,Topic 59
2021,19,6,Topic 19
2021,52,6,Topic 52
2021,87,4,Topic 87
2021,11,19,Topic 11
2021,65,7,Topic 65
2021,32,9,Topic 32
2021,34,6,Topic 34
2021,84,2,Topic 84
2021,40,6,Topic 40
2021,81,1,Topic 81
2021,82,6,Topic 82
2021,58,3,Topic 58
2021,46,4,Topic 46
2021,76,4,Topic 76
2021,56,7,Topic 56
2021,50,2,Topic 50
2021,80,2,Topic 80
2021,38,6,Topic 38
2021,27,4,Topic 27
2021,53,3,Topic 53
2021,39,5,Topic 39
2021,18,3,Topic 18
2021,47,3,Topic 47
2021,36,1,Topic 36
2020,11,13,Topic 11
2020,2,67,Topic 2
2020,47,3,Topic 47
2020,55,3,Topic 55
2020,9,16,Topic 9
2020,0,57,Topic 0
2020,80,5,Topic 80
2020,4,49,Topic 4
2020,8,21,Topic 8
2020,5,22,Topic 5
2020,78,3,Topic 78
2020,44,6,Topic 44
2020,12,7,Topic 12
2020,21,4,Topic 21
2020,18,3,Topic 18
2020,14,8,Topic 14
2020,6,11,Topic 6
2020,31,3,Topic 31
2020,22,9,Topic 22
2020,24,7,Topic 24
2020,65,3,Topic 65
2020,3,28,Topic 3
2020,39,3,Topic 39
2020,10,20,Topic 10
2020,1,40,Topic 1
2020,46,2,Topic 46
2020,70,4,Topic 70
2020,74,7,Topic 74
2020,20,9,Topic 20
2020,50,7,Topic 50
2020,61,3,Topic 61
2020,79,5,Topic 79
2020,49,7,Topic 49
2020,56,5,Topic 56
2020,26,6,Topic 26
2020,30,4,Topic 30
2020,62,3,Topic 62
2020,7,37,Topic 7
2020,48,5,Topic 48
2020,37,7,Topic 37
2020,32,5,Topic 32
2020,36,1,Topic 36
2020,71,7,Topic 71
2020,27,3,Topic 27
2020,64,7,Topic 64
2020,17,12,Topic 17
2020,84,4,Topic 84
2020,13,12,Topic 13
2020,52,1,Topic 52
2020,34,6,Topic 34
2020,16,7,Topic 16
2020,25,7,Topic 25
2020,35,2,Topic 35
2020,76,4,Topic 76
2020,29,10,Topic 29
2020,15,9,Topic 15
2020,57,1,Topic 57
2020,58,5,Topic 58
2020,63,5,Topic 63
2020,86,5,Topic 86
2020,67,6,Topic 67
2020,23,5,Topic 23
2020,53,3,Topic 53
2020,60,2,Topic 60
2020,40,1,Topic 40
2020,59,5,Topic 59
2020,28,2,Topic 28
2020,72,2,Topic 72
2020,33,3,Topic 33
2020,68,7,Topic 68
2020,77,4,Topic 77
2020,75,4,Topic 75
2020,87,1,Topic 87
2020,38,5,Topic 38
2020,51,8,Topic 51
2020,73,4,Topic 73
2020,66,1,Topic 66
2020,45,1,Topic 45
2020,81,1,Topic 81
2020,43,1,Topic 43
2020,83,1,Topic 83
2020,54,1,Topic 54
2020,42,1,Topic 42
2020,19,3,Topic 19
2020,69,2,Topic 69
2015,41,4,Topic 41
2015,1,20,Topic 1
2015,0,39,Topic 0
2015,44,7,Topic 44
2015,5,8,Topic 5
2015,31,2,Topic 31
2015,6,8,Topic 6
2015,2,9,Topic 2
2015,17,6,Topic 17
2015,14,3,Topic 14
2015,52,6,Topic 52
2015,30,4,Topic 30
2015,18,4,Topic 18
2015,43,3,Topic 43
2015,25,4,Topic 25
2015,33,6,Topic 33
2015,15,6,Topic 15
2015,4,10,Topic 4
2015,54,3,Topic 54
2015,64,4,Topic 64
2015,9,4,Topic 9
