title,year,topic,probability,custom_label
'Immunogenetics of Aging': report on the activities of the 15th International HLA and Immunogenetics Working Group and 15th International HLA and Immunogenetics Workshop,2011,-1,0.0,Outlier
High Concordance of CT Colonography and Colonoscopy Allows for the Distinguishing and Diagnosing of Intestinal Diseases,2023,5,8.71853489305079e-114,Topic 5
"Synthesis, Antitumor and Antibacterial Studies of New Shortened Analogues of (KLAKLAK)2-NH2 and Their Conjugates Containing Unnatural Amino Acids",2021,72,0.0,Topic 72
Aerobic Microbiological Spectrum and Antibiotic Resistance in Children Operated for Anorectal Abscesses,2024,3,0.005284922827794851,Topic 3
Synthesis and Biological Studies of New Temporin A Analogs Containing Unnatural Amino Acids in Position 7,2024,72,0.0,Topic 72
Developing an Intelligent Data Analysis Approach for Marine Sediments,2022,20,0.0,Topic 20
Identification of Specific IgE Antibodies and Asthma Control Interaction and Association Using Cluster Analysis in a Bulgarian Asthmatic Children Cohort,2020,11,0.00036319450152883084,Topic 11
Allergen-Specific IgE and IgG4 as Biomarkers for Immunologic Changes during Subcutaneous Allergen Immunotherapy,2021,11,0.004136645256562242,Topic 11
Genetic Basis of Dual Diagnosis: A Review of Genome-Wide Association Studies (GWAS) Focusing on Patients with Mood or Anxiety Disorders and Co-Occurring Alcohol-Use Disorders,2021,56,0.0,Topic 56
Abdominal and Thoracic Imaging Features in Children with MIS-C,2022,2,0.00441338460754162,Topic 2
Detection of HEV RNA Using One-Step Real-Time RT-PCR in Farrow-to-Finish Pig Farms in Bulgaria,2023,-1,0.0,Outlier
"Synthesis, Antiproliferative Effect and In Silico LogP Prediction of BIM-23052 Analogs Containing Tyr Instead of Phe",2023,-1,0.0,Outlier
Inositols in PCOS,2020,-1,0.0,Outlier
A Survey of the Union of European Neonatal and Perinatal Societies on Neonatal Respiratory Care in Neonatal Intensive Care Units,2024,-1,0.0,Outlier
Synthesis and Biological Studies on (KLAKLAK)2-NH2 Analog Containing Unnatural Amino Acid β-Ala and Conjugates with Second Pharmacophore,2021,72,0.0,Topic 72
Prognostic Factors for Invasiveness and Recurrence of Pituitary Adenomas: A Series of 94 Patients,2022,30,0.0,Topic 30
Antiproliferative and Pro-Apoptotic Activity and Tubulin Dynamics Modulation of 1H-Benzimidazol-2-yl Hydrazones in Human Breast Cancer Cell Line MDA-MB-231,2024,51,0.0,Topic 51
Investigation of Cognitive Impairment in the Course of Post-COVID Syndrome,2023,-1,0.0,Outlier
The Biggest Challenges Resulting from the COVID-19 Pandemic on Gender-Related Work from Home in Biomedical Fields-World-Wide Qualitative Survey Analysis,2022,61,0.0,Topic 61
Single-Stage Externalized Locked Plating for Treatment of Unstable Meta-Diaphyseal Tibial Fractures,2023,19,0.0,Topic 19
Vaccination against HBV and HAV as Mode of Hepatitis Prevention among People Living with HIV-Data from ECEE Network Group,2023,42,0.0,Topic 42
Intraoperative Radiotherapy with Balloon-Based Electronic Brachytherapy System-A Systematic Review and First Bulgarian Experience in Breast Cancer Patients,2021,68,0.0,Topic 68
Risk of Fetal Loss After Chorionic Villus Sampling in Twin Pregnancy Derived From Propensity Score Matching Analysis,2022,34,0.0,Topic 34
FAIRification of nanosafety data to improve applicability of (Q)SAR approaches: A case study on in vitro Comet assay genotoxicity data,2021,-1,0.0,Outlier
"Fused Triazinobenzimidazoles Bearing Heterocyclic Moiety: Synthesis, Structure Investigations, and In Silico and In Vitro Biological Activity",2023,-1,0.0,Outlier
4-Aminopyridine affects rat arterial smooth muscle BKCa currents by changing intracellular pH,2000,26,0.008932534288643821,Topic 26
Urocortin relaxes rat tail arteries by a PKA-mediated reduction of the sensitivity of the contractile apparatus for calcium,2001,26,0.008924363332979622,Topic 26
"Study of the Molecular Architectures of 2-(4-Chlorophenyl)-5-(pyrrolidin-1-yl)-2H-1,2,3-triazole-4-carboxylic Acid Using Their Vibrational Spectra, Quantum Chemical Calculations and Molecular Docking with MMP-2 Receptor",2023,37,0.004178795464512792,Topic 37
AMPA and kainate receptors in turtle retina: An immunocytochemical study,2007,-1,0.0,Outlier
"Modulation Effect on Tubulin Polymerization, Cytotoxicity and Antioxidant Activity of 1H-Benzimidazole-2-Yl Hydrazones",2023,51,0.0,Topic 51
"Highly Efficient 2,3-Butanediol Production by Bacillus licheniformis via Complex Optimization of Nutritional and Technological Parameters",2021,58,4.608366118539888e-14,Topic 58
"Influence of pH on Inulin Conversion to 2,3-Butanediol by Bacillus licheniformis 24: A Gene Expression Assay",2023,58,0.0,Topic 58
"Oxidation of 5-Chloromethylfurfural (CMF) to 2,5-Diformylfuran (DFF)",2017,55,0.0,Topic 55
Squaric acid derivatives with cytotoxic activity-a review,2025,51,0.0,Topic 51
The era of digital pharmacy. 3D printing - realities and perspectives,2023,0,0.0048475799471628615,Topic 0
4-Hydroxynonenal (HNE) and hepatic injury related to chronic oxidative stress,2019,-1,0.0,Outlier
Anion exchanger and the resistance against thermal haemolysis,2011,41,0.002387921439995545,Topic 41
A Case of 5-Fluorouracil-Induced Coronary Artery Vasospasm in a Patient With Salivary Gland Cancer,2020,-1,0.0,Outlier
Design and Synthesis of a Compound Library Exploiting 5-Methoxyleoligin as Potential Cholesterol Efflux Promoter,2020,51,0.0,Topic 51
Assessment of Some Immune Parameters in Occupationally Exposed Nuclear Power Plant Workers: Flow Cytometry Measurements of T Lymphocyte Subpopulations and Immunoglobulin Determination,2015,39,0.0,Topic 39
BILATERAL PHEOCHROMOCYTOMA/INTRA-ADRENAL PARAGANGLIOMA IN VON HIPPEL-LINDAU PATIENT CAUSING ACUTE MYOCARDIAL INFARCTION,2014,30,0.004186375086089276,Topic 30
Selective slow pathway ablation using transseptal approach in a patient with surgically corrected partial atrioventricular canal defect and atrioventricular nodal reentrant tachycardia of the common type,2010,-1,0.0,Outlier
METACHRONOUS TESTICULAR SEMINOMA-16 YEARS LATER: EARLY DETECTION AND MANAGEMENT/CASEREPORT/,2009,-1,0.0,Outlier
Effect of an Accidental Colchicine Overdose in a COVID-19 Inpatient With Bilateral Pneumonia and Pericardial Effusion,2023,2,0.00484411761033317,Topic 2
High Doses of Colchicine Act As Silver Bullets Against Severe COVID-19,2024,2,0.00559695405261483,Topic 2
Left free wall-sided Mahaim type fiber and A-V nodal reentry tachycardia: Unusual but not impossible combination,2022,8,0.0032863839417881166,Topic 8
Bilateral carotid neo-bifurcation by symptomatic elongation of the common and internal carotid artery,2020,8,0.0020735096718146793,Topic 8
"A rare case of non-conventional risk factors for ischemic stroke: A long pathogenic sequence, neurointervention combined with IV acetylsalicylic acid and secondary prevention",2021,8,0.0035289789055272676,Topic 8
AN UNCOMMON CASE OF FILUM TERMINALE HEMANGIOBLASTOMA NON-ASSOCIATED WITH VON HIPPEL - LINDAU DISEASE,2023,49,1.0866115220337323e-27,Topic 49
Failed carotid artery stenting followed by successful surgical intervention: Case report,2021,8,0.0005214661034181325,Topic 8
Gummatous Cutaneous Syphilis,2009,-1,0.0,Outlier
Acute pancreatitis after the removal of a hyperplastic duodenal polyp: a case report,2020,5,3.103505704135698e-07,Topic 5
Dabigatran Etexilate Related Unilateral Adrenal Hemorrhage,2024,30,0.004148144430487043,Topic 30
Knowing About Device Algorithms to Understand the Rhythm and Role of Managed Ventricular Pacing,2017,-1,0.0,Outlier
Diffuse Xanthogranulomatous Cholecystitis: Master of Disguise,2018,5,0.0,Topic 5
Appendiceal Mucocele Presenting as a Right Adnexal Mass: ACase Report,2010,22,0.001476294527901845,Topic 22
The Riddle of the Double Vision-A Rare Case of Intracranial Tumor: When Imaging Resolves the Mystery,2024,-1,0.0,Outlier
Hybrid approach in tandem high-grade carotid stenoses: A case report,2020,8,0.0005587576219513913,Topic 8
The promise of the anti-idiotype concept,2012,16,0.00015006365514246266,Topic 16
